label	train	species	genbank	mycocosm	reference	nomenclature1	nomenclature2	nomenclature3	comments	file
aci_tak	1	Aciculosporium take A7993				symbiont	monomertroph	monomertroph1		atakeA7993.fasta
epi_ama	1	Epichloe amarillans E57				symbiont	monomertroph	monomertroph1		Epichloe_amarillans_E0057.fasta
epi_bra	1	Epichloe brachyelytri E4804				symbiont	monomertroph	monomertroph1		Epichloe_brachyelytri_E4804.fasta
epi_ely	1	Epichloe elymi E56				symbiont	monomertroph	monomertroph1		Epichloe_elymi_E0056.fasta
epi_fes_e2368	1	Epichloe festucae E2368				symbiont	monomertroph	monomertroph1		Epichloe_festucae_E2368.fasta
epi_fes_e894	1	Epichloe festucae E894				symbiont	monomertroph	monomertroph1		Epichloe_festucae_E0894.fasta
epi_gly	1	Epichloe glyceriae E277				symbiont	monomertroph	monomertroph1		Epichloe_glyceriae_E0277.fasta
epi_typ_E8	1	Epichloe typhina E8				symbiont	monomertroph	monomertroph1		Epichloe_typhina_E0008.fasta
epi_typ_poa	1	Epichloe typhina subsp. Poae E5819				symbiont	monomertroph	monomertroph1		Epichloe_typhina_subsp_poae_E5819.fasta
lac_bic	1	Laccaria bicolor				symbiont	monomertroph	monomertroph1		Lacbi2_GeneCatalog_proteins_20110203.aa.fasta
oid_mai	1	Oidiodendron maius				symbiont	monomertroph	monomertroph1		Oidma1_GeneCatalog_proteins_20110606.aa.fasta
pil_cro	1	Piloderma croceum				symbiont	monomertroph	monomertroph1		Pilcr1_GeneCatalog_proteins_20120328.aa.fasta
pir_ind	1	Piriformospora indica				symbiont	monomertroph	monomertroph1		Pirin1_GeneCatalog_proteins_20111203.aa.fasta
pis_mic	1	Pisolithus microcarpus				symbiont	monomertroph	monomertroph1		Pismi1_GeneCatalog_proteins_20120412.aa.fasta
pis_tin	1	Pisolithus tinctorius				symbiont	monomertroph	monomertroph1		Pisti1_GeneCatalog_proteins_20120410.aa.fasta
rhi_irr	1	Rhizophagus irregularis (syn. Glomus intraradices)				symbiont	monomertroph	monomertroph1		Gloin1_GeneCatalog_proteins_20120510.aa.fasta
seb_ver	1	Sebacina vermifera				symbiont	monomertroph	monomertroph1		Sebve1_GeneCatalog_proteins_20120626.aa.fasta
tub_mel	1	Tuber melanosporum				symbiont	monomertroph	monomertroph1		Tubme1_GeneCatalog_proteins_20111120.aa.fasta
alb_can	1	Albugo candida				biotroph	monomertroph	monomertroph2		candida_albugo_ncbi.fasta
alb_lai	1	Albugo laibachii				biotroph	monomertroph	monomertroph2		Albugo_laibachii.ENA1.27.pep.all.fasta
blu_gra_hor	1	Blumeria graminis f. sp. hordei DH14				biotroph	monomertroph	monomertroph2	From 10.1186/1471-2164-15-843?	bgh_dh14_v3.0.peptides.fasta
blu_gra_tri	1	Blumeria graminis f. sp. tritici				biotroph	monomertroph	monomertroph2		Blumeria_graminis_fsp_tritici_96224_GCA_000418435.1_Bgt_454_newbler_assembly_protein.fasta
ery_nec	1	Erysiphe necator				biotroph	monomertroph	monomertroph2		Erysiphe_necator.proteins.NCBI.6533.fasta
hya_ara	1	Hyaloperonospora arabidopsidis				biotroph	monomertroph	monomertroph2		Hyaloperonospora_arabidopsidis.HyaAraEmoy2_2.0.26.pep.all.fasta
mel_lar_pop	1	Melampsora laricis-populina				biotroph	monomertroph	monomertroph2		Mlaricis_populina.FilteredModels3.aa.fasta
phy_cap11	1	Phytophthora capsici 11				biotroph	monomertroph	monomertroph2		Phyca11_filtered_proteins.fasta
phy_capF7	1	Phytophthora capsici F7				biotroph	monomertroph	monomertroph2		PhycaF7_best_proteins.fasta
phy_ker	1	Phytophthora kernoviae				biotroph	monomertroph	monomertroph2		Phytophthora_kernoviae.GCA_000333075.1.27.pep.all.fasta
phy_lat	1	Phytophthora lateralis				biotroph	monomertroph	monomertroph2		Phytophthora_lateralis.GCA_000318465.1.27.pep.all.fasta
phy_par	1	Phytophthora parasitica				biotroph	monomertroph	monomertroph2		Phytophthora_parasitica.GCA_000365505.1.27.pep.all.fasta
phy_ram	1	Phytophthora ramorum				biotroph	monomertroph	monomertroph2		proteins.Phyra_synt.fasta
phy_soj3	1	Phytophthora sojae 3				biotroph	monomertroph	monomertroph2		Physo3_GeneCatalog_proteins_20110401.aa.fasta
puc_gra	1	Puccinia graminis UG99				biotroph	monomertroph	monomertroph2		Puccinia_graminisug99.v1.27.pep.all.fasta
puc_str	1	Puccinia striformis				biotroph	monomertroph	monomertroph2		Pucst1_GeneCatalog_proteins_20130920.aa.fasta
puc_tri	1	Puccinia triticina				biotroph	monomertroph	monomertroph2		Puccinia_triticina.ASM15152v1.27.pep.all.fasta
pyt_arh	1	Pythium arrhenomanes				biotroph	monomertroph	monomertroph2		Pythium_arrhenomanes.GCA_000387505.2.27.pep.all.fasta
pyt_irr	1	Pythium irregulare				biotroph	monomertroph	monomertroph2		Pythium_irregulare.GCA_000387425.2.27.pep.all.fasta
pyt_iwa	1	Pythium iwayamai				biotroph	monomertroph	monomertroph2		Pythium_iwayamai.GCA_000387465.2.27.pep.all.fasta
pyt_ult	1	Pythium ultimum				biotroph	monomertroph	monomertroph2		pythium_ultimum_proteins.fasta
pyt_vex	1	Pythium vexans				biotroph	monomertroph	monomertroph2		Pythium_vexans.GCA_000387545.2.27.pep.all.fasta
spo_rei	1	Sporisorium reilianum SRZ2	GCA_000230245.1	Spore1	10.1126/science.1195330	biotroph	monomertroph	monomertroph2		Spore1_GeneCatalog_proteins_20131031.aa.fasta
tre_mes	1	Tremella mesenterica				biotroph	monomertroph	monomertroph2		Treme1_best_proteins.fasta
mag_poa	1	Magnaporthe poae				biotroph	monomertroph	monomertroph3		Magnaporthe_poae.Mag_poae_ATCC_64411_V1.27.pep.all.fasta
pas_ful	1	Passalora fulva				biotroph	monomertroph	monomertroph3		Clafu1_GeneCatalog_proteins_20110826.aa.fasta
tap_def	1	Taphrina deformans				biotroph	monomertroph	monomertroph3		Tapde1_1_GeneCatalog_proteins_20130601.aa.fasta
ust_vir	1	Ustilaginoidea virens				biotroph	monomertroph	monomertroph3		Ustilaginoidea_virens.fasta
ust_hor	1	Ustilago hordei				biotroph	monomertroph	monomertroph3		Ustilago_hordei.GCA_000286035.1.27.pep.all.fasta
ust_may	1	Ustilago maydis 521		Ustma1	10.1038/nature05248	biotroph	monomertroph	monomertroph3		Ustilago_maydis.proteins.fasta
dot_sep	1	Dothistroma septosporum				hemibiotroph	mesotroph	mesotroph_extracellular		Dotse1_GeneCatalog_proteins_20100818.aa.fasta
fus_gra	1	Fusarium graminearum				hemibiotroph	mesotroph	mesotroph_extracellular		Fusgr1_GeneCatalog_proteins_20110524.aa.fasta
lep_mac	1	Leptosphaeria maculans				hemibiotroph	mesotroph	mesotroph_extracellular		GCF_000230375.1_ASM23037v1_protein.faa
